date,Fiscal Quarter End,Estimated EPS,Actual EPS
2024-08-28,2024-07-31,0.60,0.65
2024-05-22,2024-04-30,0.51,0.58
2024-02-21,2024-01-31,0.42,0.49
2023-11-21,2023-10-31,0.30,0.38
2023-08-23,2023-07-31,0.18,0.25
2023-05-24,2023-04-30,0.06,0.09
2023-02-22,2023-01-31,0.05,0.07
2022-11-16,2022-10-31,0.04,0.03
2022-08-24,2022-07-31,0.03,0.03
2022-05-25,2022-04-30,0.11,0.12
2022-02-16,2022-01-31,0.10,0.11
2021-11-17,2021-10-31,0.10,0.10
2021-08-18,2021-07-31,0.09,0.09
2021-05-26,2021-04-30,0.07,0.08
2021-02-24,2021-01-31,0.06,0.06
2020-11-18,2020-10-31,0.05,0.06
2020-08-19,2020-07-31,0.04,0.04
2020-05-21,2020-04-30,0.03,0.04
2020-02-13,2020-01-31,0.03,0.04
2019-11-14,2019-10-31,0.03,0.04
2019-08-15,2019-07-31,0.02,0.02
2019-05-16,2019-04-30,0.02,0.02
2019-02-14,2019-01-31,0.01,0.01
2018-11-15,2018-10-31,0.04,0.04
2018-08-16,2018-07-31,0.04,0.04
2018-05-10,2018-04-30,0.04,0.05
2018-02-08,2018-01-31,0.03,0.04
2017-11-09,2017-10-31,0.02,0.03
2017-08-10,2017-07-31,0.02,0.02
2017-05-09,2017-04-30,0.02,0.02
2017-02-09,2017-01-31,0.02,0.02
2016-11-10,2016-10-31,0.01,0.02
2016-08-11,2016-07-31,0.01,0.01
2016-05-12,2016-04-30,0.01,0.01
2016-02-17,2016-01-31,0.01,0.01
2015-11-05,2015-10-31,0.01,0.01
2015-08-06,2015-07-31,0.00,0.01
2015-05-07,2015-04-30,0.01,0.01
2015-02-11,2015-01-31,0.01,0.01